claim_id,claim,claim_type,sources,independence_check,confidence,subquestion,quote
E01,"LLMs exhibit systematic overconfidence with 30%+ factual errors in medical QA",C1,"S01;S11",Independent (different research groups),High,SQ5,"over 30% of answers in medical QA tasks contain factual errors"
E02,"Self-consistency method is most reliable confidence strategy (lowest ECE in 11/13 tasks)",C1,"S01;S14",Independent,High,SQ5,"self-consistency was consistently more reliable than other strategies"
E03,"LLMREI achieved 73.7% requirements elicitation (60.94% full + 12.76% partial)",C1,"S02",Single source,Medium,SQ1,"able to completely elicit up to 60.94% of all requirements and partially elicit up to 12.76%"
E04,"LLM-generated clarifying questions outperform human-authored when guided by mistake types",C1,"S05",Single source,Medium,SQ6,"LLM-generated questions outperform human-authored questions when guided by common mistake types"
E05,"94.3% of business process descriptions contain at least one ambiguity type",C1,"S16",Single source,Medium,SQ7,"94.3% of the descriptions exhibit at least one type of ambiguity"
E06,"Context-blind AI generates technically correct code that breaks 67% of enterprise deployments",C1,"S08",Single source,Medium,SQ4,"breaks production systems in 67% of enterprise deployments"
E07,"Four dimensions of LLM uncertainty: input (aleatoric), reasoning, parameter (epistemic), prediction",C2,"S01",N/A,High,SQ5,"Input uncertainty, Reasoning uncertainty, Parameter uncertainty, Prediction uncertainty"
E08,"Slot filling identifies missing required slots and prompts for clarification",C2,"S09;S13",Independent,High,SQ1,"If a required slot is not yet filled the chatbot will prompt the user to provide that information"
E09,"INVEST criteria serve as effective Definition of Ready for user stories",C2,"S10;S17",Independent,High,SQ2,"The INVEST criteria often work well as a definition of ready"
E10,"Information gain threshold (epsilon=0.1) determines when clarification needed",C2,"S07",N/A,Medium,SQ5,"Samples exceeding threshold epsilon=0.1 are classified as ambiguous"
E11,"14 common interviewer mistake types framework identifies clarification triggers",C2,"S05",N/A,High,SQ7,"The framework synthesizes 14 mistakes across two categories"
E12,"Epistemic uncertainty can be reduced through domain fine-tuning or RAG",C2,"S01",N/A,High,SQ5,"can be reduced through domain-specific fine-tuning or retrieval-augmented generation"
E13,"Context-aware tools should update understanding with every commit",C3,"S08",N/A,Medium,SQ4,"updating with every commit and understanding patterns from actual codebase history"
E14,"Zero-shot slot filling struggles with conversational dynamics like topic shifts",C2,"S03",N/A,Medium,SQ1,"Conversational data is highly dynamic involving abrupt topic shifts interruptions"
E15,"5% improvement in F1 achieved by training models to ask vs answer appropriately",C2,"S03",N/A,Medium,SQ6,"achieves a 5% improvement in F1 measured against the answer set"
